商品,订单号,订单状态,商品总价(元),店铺优惠折扣(元),平台优惠折扣(元),用户实付金额(元),商家实收金额(元),商品数量(件),发货时间,确认收货时间,商品id,商品规格,样式ID,商家备注,售后状态,快递单号,快递公司,订单成交时间,是否分期,分期期数,手续费承担方,手续费率
2021新款日系阔腿裤男士大码束脚裤透气舒适学生加肥加大码运动裤,210411-466634671092591,待发货,58.9	,0.0	,0.0	,58.9	,58.9	,1	,	,	,221854380009	,"S011反光黑+后背彩虹黑,3XL 建议150-180斤",800112990273	,	,无售后或售后取消,	,	,2021-04-11 22:50:27,否,	,	,	
2021新款加肥加大码男装体恤胖子宽松夏季上衣男半袖宽松胖子t恤,210411-486933791963404,待发货,38.8	,0.0	,2.0	,36.8	,38.8	,1	,	,	,219892436235	,"W17黑+W16白,10XL 建议320-350斤",795738535297	,	,无售后或售后取消,	,	,2021-04-11 22:51:01,否,	,	,	
加肥加大码胖子男装t恤国潮嘻哈2021夏季新款上衣男潮流五分袖,210411-463443067880513,待发货,38.8	,0.0	,3.0	,35.8	,38.8	,1	,	,	,222529609824	,"909白+903黑,8XL 建议310-350斤",801692544055	,	,无售后或售后取消,	,	,2021-04-11 22:50:44,否,	,	,	
国潮加肥加大码五分袖宽松胖子男装t恤白色体恤男生短袖潮流学生,210411-240382116833943,待发货,26.8	,0.0	,0.0	,26.8	,26.8	,1	,	,	,219893236767	,"W18白,XL 建议115-130斤",795740845512	,	,无售后或售后取消,	,	,2021-04-11 22:47:14,否,	,	,	
2021新款春夏透气学生运动休闲裤男加肥加大码直筒裤休闲胖子男裤,210411-604096431073664,待发货,35.9	,0.0	,0.0	,35.9	,35.9	,1	,	,	,220670834990	,"J29七彩灰,8XL 建议310-350斤",797377760525	,	,无售后或售后取消,	,	,2021-04-11 22:44:49,否,	,	,	
港风ins韩版加肥加大码宽松胖子夏季大码青少年流行学生五分袖t恤,210411-517583668212315,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,225840228376	,"SS17黑色+SS100黑色,5XL 建议210-240斤",809909086831	,	,无售后或售后取消,	,	,2021-04-11 22:36:38,否,	,	,	
港风ins韩版加肥加大码宽松胖子夏季大码青少年流行学生五分袖t恤,210411-173986284532315,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,225840228376	,"SS17黑色+SS100黑色,M 建议75-100斤",809909086825	,	,无售后或售后取消,	,	,2021-04-11 22:36:39,否,	,	,	
加肥加大码男装连帽卫衣秋冬季韩版潮流学生ins港风宽松胖子卫衣,210411-294004982881096,待发货,32.9	,0.0	,0.0	,32.9	,32.9	,1	,	,	,180326142335	,"【单件】Y644黑色,XL",694650306767	,	,无售后或售后取消,	,	,2021-04-11 22:35:48,否,	,	,	
2021新款日系阔腿裤男士大码束脚裤透气舒适学生加肥加大码运动裤,210411-485388453071353,待发货,58.9	,0.0	,0.0	,58.9	,58.9	,1	,	,	,221854380009	,"S011反光灰+S011反光黑,5XL 建议210-240斤",800112990235	,	,无售后或售后取消,	,	,2021-04-11 22:35:41,否,	,	,	
2021新款日系阔腿裤男士大码束脚裤透气舒适学生加肥加大码运动裤,210411-601924568031230,待发货,58.9	,0.0	,0.0	,58.9	,58.9	,1	,	,	,221854380009	,"S010黑+S011反光黑,4XL 建议180-210斤",800112990204	,	,无售后或售后取消,	,	,2021-04-11 22:41:27,否,	,	,	
夏季加肥加大码男装国潮新款时尚印花潮流学生上衣五分袖透气t恤,210411-439224894460691,待发货,26.8	,0.0	,0.0	,26.8	,26.8	,1	,	,	,219896665455	,"火焰熊白,4XL 建议170-200斤",795750293442	,	,无售后或售后取消,	,	,2021-04-11 22:34:07,否,	,	,	
加肥加大码国潮百搭T恤五分袖短袖男大码男装宽松胖子学生潮t恤男,210411-083068191973080,待发货,27.8	,0.0	,0.0	,27.8	,27.8	,1	,	,	,220841582441	,"G21黑,5XL 建议210-240斤",797733105824	,	,无售后或售后取消,	,	,2021-04-11 22:27:07,否,	,	,	
2021新款日系阔腿裤男士大码束脚裤透气舒适学生加肥加大码运动裤,210411-368968991872863,待发货,58.9	,0.0	,0.0	,58.9	,58.9	,1	,	,	,221854380009	,"S010灰+S011反光黑,XL 建议115-130斤",800112990161	,	,无售后或售后取消,	,	,2021-04-11 22:26:43,否,	,	,	
国潮2021新款加肥加大码宽松胖子男装t恤白色体恤男生学生运动t恤,210411-244129465540913,待发货,26.8	,0.0	,0.0	,26.8	,26.8	,1	,	,	,219894535890	,"恶魔笑脸黑,5XL 建议200-230斤",795744952109	,	,无售后或售后取消,	,	,2021-04-11 22:32:32,否,	,	,	
